country_id,win,year
0,0,1975
1,0,1975
2,0,1975
3,0,1975
4,0,1975
5,0,1975
6,0,1975
7,0,1975
8,0,1975
9,0,1975
10,0,1975
11,0,1975
12,0,1975
13,0,1975
14,0,1975
15,1,1975
16,0,1975
17,0,1975
18,0,1975
19,0,1975
20,0,1975
21,0,1975
22,0,1975
23,0,1975
24,0,1975
25,0,1975
26,0,1975
27,0,1975
28,0,1975
29,0,1975
30,0,1975
31,0,1975
32,0,1975
33,0,1975
34,0,1975
35,0,1975
36,0,1975
37,0,1975
38,0,1975
39,0,1975
40,0,1975
41,0,1975
42,0,1975
43,0,1975
44,0,1975
45,0,1975
46,0,1975
47,0,1975
48,0,1975
49,0,1975
50,0,1975
51,0,1975
52,0,1975
53,0,1975
0,0,1976
1,0,1976
2,0,1976
3,0,1976
4,0,1976
5,0,1976
6,0,1976
7,0,1976
8,0,1976
9,0,1976
10,0,1976
11,0,1976
12,0,1976
13,0,1976
14,0,1976
15,0,1976
16,0,1976
17,1,1976
18,0,1976
19,0,1976
20,0,1976
21,0,1976
22,0,1976
23,0,1976
24,0,1976
25,0,1976
26,0,1976
27,0,1976
28,0,1976
29,0,1976
30,0,1976
31,0,1976
32,0,1976
33,0,1976
34,0,1976
35,0,1976
36,0,1976
37,0,1976
38,0,1976
39,0,1976
40,0,1976
41,0,1976
42,0,1976
43,0,1976
44,0,1976
45,0,1976
46,0,1976
47,0,1976
48,0,1976
49,0,1976
50,0,1976
51,0,1976
52,0,1976
53,0,1976
0,0,1977
1,0,1977
2,1,1977
3,0,1977
4,0,1977
5,0,1977
6,0,1977
7,0,1977
8,0,1977
9,0,1977
10,0,1977
11,0,1977
12,0,1977
13,0,1977
14,0,1977
15,0,1977
16,0,1977
17,0,1977
18,0,1977
19,0,1977
20,0,1977
21,0,1977
22,0,1977
23,0,1977
24,0,1977
25,0,1977
26,0,1977
27,0,1977
28,0,1977
29,0,1977
30,0,1977
31,0,1977
32,0,1977
33,0,1977
34,0,1977
35,0,1977
36,0,1977
37,0,1977
38,0,1977
39,0,1977
40,0,1977
41,0,1977
42,0,1977
43,0,1977
44,0,1977
45,0,1977
46,0,1977
47,0,1977
48,0,1977
49,0,1977
50,0,1977
51,0,1977
52,0,1977
53,0,1977
0,0,1978
1,0,1978
2,0,1978
3,0,1978
4,0,1978
5,1,1978
6,0,1978
7,0,1978
8,0,1978
9,0,1978
10,0,1978
11,0,1978
12,0,1978
13,0,1978
14,0,1978
15,0,1978
16,0,1978
17,0,1978
18,0,1978
19,0,1978
20,0,1978
21,0,1978
22,0,1978
23,0,1978
24,0,1978
25,0,1978
26,0,1978
27,0,1978
28,0,1978
29,0,1978
30,0,1978
31,0,1978
32,0,1978
33,0,1978
34,0,1978
35,0,1978
36,0,1978
37,0,1978
38,0,1978
39,0,1978
40,0,1978
